path	title	url
administration	Администрирование	https://wiki.twin24.ai/ru/administration
administration/instructions	Пошаговые инструкции	https://wiki.twin24.ai/ru/administration/instructions
administration/instructions/2fa-management	Управление двухфакторной аутентификацией	https://wiki.twin24.ai/ru/administration/instructions/2fa-management
administration/instructions/account-creation	Работа с учетной записью	https://wiki.twin24.ai/ru/administration/instructions/account-creation
administration/instructions/operator-account	Создание и подготовка панели оператора к работе	https://wiki.twin24.ai/ru/administration/instructions/operator-account
ai-agents	AI-агенты	https://wiki.twin24.ai/ru/ai-agents
ai-agents/agent-tools	Инструменты AI-агента	https://wiki.twin24.ai/ru/ai-agents/agent-tools
ai-agents/ai-agent-prompts	Рекомендации по созданию промптов для AI-агентов	https://wiki.twin24.ai/ru/ai-agents/ai-agent-prompts
ai-agents/creating-ai-agents	Создание AI-агента	https://wiki.twin24.ai/ru/ai-agents/creating-ai-agents
ai-agents/elevenlabs-tts-models	Сравнение моделей TTS от ElevenLabs	https://wiki.twin24.ai/ru/ai-agents/elevenlabs-tts-models
ai-agents/error_handling	AI-агенты: Решение возможных проблем	https://wiki.twin24.ai/ru/ai-agents/error_handling
ai-agents/faq	AI-агенты: Вопросы и ответы	https://wiki.twin24.ai/ru/ai-agents/faq
ai-agents/knowledge-base	База знаний AI-агента	https://wiki.twin24.ai/ru/ai-agents/knowledge-base
ai-agents/optimizing-llm-costs	Оптимизация расхода токенов LLM	https://wiki.twin24.ai/ru/ai-agents/optimizing-llm-costs
ai-agents/optimizing-response-times	Оптимизация скорости ответа AI-агента	https://wiki.twin24.ai/ru/ai-agents/optimizing-response-times
ai-agents/rag-usage	Использование RAG в базе знаний агента	https://wiki.twin24.ai/ru/ai-agents/rag-usage
ai-agents/server-requests	Запросы к внешним сервисам из AI агентов	https://wiki.twin24.ai/ru/ai-agents/server-requests
ai-agents/static-script	Сценарий вовлечения в диалог	https://wiki.twin24.ai/ru/ai-agents/static-script
ai-agents/system-variables	Системные переменные AI-агента	https://wiki.twin24.ai/ru/ai-agents/system-variables
ai-agents/transfer-to-operator	Перевод диалога AI-агента на оператора	https://wiki.twin24.ai/ru/ai-agents/transfer-to-operator
ai-calls/ai-call-policy	Политика использования сервиса AI-агентов	https://wiki.twin24.ai/ru/ai-calls/ai-call-policy
ai-calls/analytics-dialog-data	Аналитика и сбор информации из диалога	https://wiki.twin24.ai/ru/ai-calls/analytics-dialog-data
ai-hub	AI Hub	https://wiki.twin24.ai/ru/ai-hub
ai-hub/ai-hab-obrabotka	AI Hub	https://wiki.twin24.ai/ru/ai-hub/ai-hab-obrabotka
ai-hub/gpt-assistant-tips	Советы по заполнению файлов для ChatGPT Assistant	https://wiki.twin24.ai/ru/ai-hub/gpt-assistant-tips
ai-hub/manage-gpt-assistant	Управление ChatGPT Assistant	https://wiki.twin24.ai/ru/ai-hub/manage-gpt-assistant
ai-widgets	AI-виджеты	https://wiki.twin24.ai/ru/ai-widgets
ai-widgets/creation-ai-widget	Работа с AI-виджетом	https://wiki.twin24.ai/ru/ai-widgets/creation-ai-widget
ai-widgets/description-ai-widgets	AI-виджеты	https://wiki.twin24.ai/ru/ai-widgets/description-ai-widgets
billing	Биллинг	https://wiki.twin24.ai/ru/billing
billing/accounts	Управление счетами	https://wiki.twin24.ai/ru/billing/accounts
billing/balance-management	Управление балансом компании	https://wiki.twin24.ai/ru/billing/balance-management
billing/billing-external-amd	Биллинг по определению автоответчиков	https://wiki.twin24.ai/ru/billing/billing-external-amd
billing/chatgpt-tokens	Расчет токенов для ChatGPT	https://wiki.twin24.ai/ru/billing/chatgpt-tokens
billing/monthly-reports	Ежемесячные платежные отчеты	https://wiki.twin24.ai/ru/billing/monthly-reports
billing/quick-start	Начало работы	https://wiki.twin24.ai/ru/billing/quick-start
bpl	BPL	https://wiki.twin24.ai/ru/bpl
bpl/faq	BPL: Вопросы и ответы	https://wiki.twin24.ai/ru/bpl/faq
bpl/functions	Функции BPL	https://wiki.twin24.ai/ru/bpl/functions
bpl/functions/bot-messages	Обработка сообщений бота	https://wiki.twin24.ai/ru/bpl/functions/bot-messages
bpl/functions/date-time	Работа с датой и временем	https://wiki.twin24.ai/ru/bpl/functions/date-time
bpl/functions/deepseek	Функции DeepSeek	https://wiki.twin24.ai/ru/bpl/functions/deepseek
bpl/functions/encoding-decoding	Кодирование и декодирование	https://wiki.twin24.ai/ru/bpl/functions/encoding-decoding
bpl/functions/extracting-substrings	Извлечение подстрок из текста	https://wiki.twin24.ai/ru/bpl/functions/extracting-substrings
bpl/functions/fact-query	Объект FactQuery	https://wiki.twin24.ai/ru/bpl/functions/fact-query
bpl/functions/fact-query-condition	Объект FactQueryCondition	https://wiki.twin24.ai/ru/bpl/functions/fact-query-condition
bpl/functions/facts	Операции с фактами	https://wiki.twin24.ai/ru/bpl/functions/facts
bpl/functions/files	Взаимодействие с файлами	https://wiki.twin24.ai/ru/bpl/functions/files
bpl/functions/general	Функции общего назначения	https://wiki.twin24.ai/ru/bpl/functions/general
bpl/functions/generating-uuid	Функции для генерации UUID	https://wiki.twin24.ai/ru/bpl/functions/generating-uuid
bpl/functions/gigachat	Функции GigaChat	https://wiki.twin24.ai/ru/bpl/functions/gigachat
bpl/functions/gpt	Функции GPT	https://wiki.twin24.ai/ru/bpl/functions/gpt
bpl/functions/hash	Функции хэширования	https://wiki.twin24.ai/ru/bpl/functions/hash
bpl/functions/http	Функции для работы с HTTP	https://wiki.twin24.ai/ru/bpl/functions/http
bpl/functions/mathematical	Математические функции	https://wiki.twin24.ai/ru/bpl/functions/mathematical
bpl/functions/nlp-text	Работа с текстом на естественном языке NLP	https://wiki.twin24.ai/ru/bpl/functions/nlp-text
bpl/functions/nlp-understanding	Понимание естественного языка	https://wiki.twin24.ai/ru/bpl/functions/nlp-understanding
bpl/functions/nlu	Функции для работы с NLU	https://wiki.twin24.ai/ru/bpl/functions/nlu
bpl/functions/queue	Управление очередью сообщений пользователя	https://wiki.twin24.ai/ru/bpl/functions/queue
bpl/functions/reka	Функции RekaAI	https://wiki.twin24.ai/ru/bpl/functions/reka
bpl/functions/request-response	Объекты Request и Response	https://wiki.twin24.ai/ru/bpl/functions/request-response
bpl/functions/sentence	Объект Sentence	https://wiki.twin24.ai/ru/bpl/functions/sentence
bpl/functions/strings	Строковые функции	https://wiki.twin24.ai/ru/bpl/functions/strings
bpl/functions/system	Системные функции	https://wiki.twin24.ai/ru/bpl/functions/system
bpl/functions/timer	Функции таймера	https://wiki.twin24.ai/ru/bpl/functions/timer
bpl/functions/user-message	Объект UserMessage	https://wiki.twin24.ai/ru/bpl/functions/user-message
bpl/functions/yclients	Функции YCLIENTS	https://wiki.twin24.ai/ru/bpl/functions/yclients
bpl/functions/ygpt	Функции YandexGPT	https://wiki.twin24.ai/ru/bpl/functions/ygpt
bpl/main-concepts	Основные понятия	https://wiki.twin24.ai/ru/bpl/main-concepts
bpl/main-concepts/data-types	Типы данных	https://wiki.twin24.ai/ru/bpl/main-concepts/data-types
bpl/main-concepts/functions	Функции	https://wiki.twin24.ai/ru/bpl/main-concepts/functions
bpl/main-concepts/operations	Операции	https://wiki.twin24.ai/ru/bpl/main-concepts/operations
bpl/main-concepts/variables	Переменные	https://wiki.twin24.ai/ru/bpl/main-concepts/variables
bpl/quick-start	Начало работы с BPL	https://wiki.twin24.ai/ru/bpl/quick-start
